time,sample,Ct
0,STD 10^2,31.27
0,STD 10^2,31.28
0,STD 10^2,31.42
0,STD 10^2,31.47
0,STD 10^2,31.6
0,STD 10^1,35.07
0,STD 10^1,34.47
0,STD 10^1,34.89
0,STD 10^1,35
0,STD 10^1,34.51
0,STD 10^0,37.65
0,STD 10^0,37.2
0,STD 10^0,37.93
0,STD 10^0,39.47
0,STD 10^0,38.64
0,NTC,NA
24 hr,STD 10^2,31.58
24 hr,STD 10^2,31.39
24 hr,STD 10^2,31.53
24 hr,STD 10^2,31.94
24 hr,STD 10^2,31.37
24 hr,STD 10^1,34.81
24 hr,STD 10^1,34.74
24 hr,STD 10^1,34.62
24 hr,STD 10^1,34.92
24 hr,STD 10^1,34.43
24 hr,STD 10^0,37.31
24 hr,STD 10^0,38.94
24 hr,STD 10^0,38.26
24 hr,STD 10^0,37.91
24 hr,STD 10^0,39.53
24 hr,NTC,NA
48 hr,STD 10^2,31.58
48 hr,STD 10^2,31.51
48 hr,STD 10^2,31.3
48 hr,STD 10^2,31.3
48 hr,STD 10^2,31.57
48 hr,STD 10^1,34.8
48 hr,STD 10^1,34.76
48 hr,STD 10^1,35.53
48 hr,STD 10^1,35.09
48 hr,STD 10^1,34.82
48 hr,STD 10^0,37.64
48 hr,STD 10^0,38.85
48 hr,STD 10^0,37.97
48 hr,STD 10^0,38.8
48 hr,STD 10^0,38.3
48 hr,NTC,NA
