Test,dna_conc,location,orig_sample_id,,,,,,,,
1,16.5,Laboratory,hull_eDNA_015,hull_eDNA_015,TUBES901,DNeasy Lab Protocol - 15 min digest,16.5,hull_eDNA_014,TUBES902,Field Extraction Protocol - 15 min digest,26.2
1,26.2,FASTeDNA,hull_eDNA_014,hull_eDNA_017,TUBES901,DNeasy Lab Protocol - 15 min digest,32.2,hull_eDNA_016,TUBES902,Field Extraction Protocol - 15 min digest,38.8
2,32.2,Laboratory,hull_eDNA_017,hull_eDNA_019,TUBES901,DNeasy Lab Protocol - 15 min digest,18.9,hull_eDNA_018,TUBES902,Field Extraction Protocol - 15 min digest,29.6
2,38.8,FASTeDNA,hull_eDNA_016,hull_eDNA_021,TUBES901,DNeasy Lab Protocol - 15 min digest,0,hull_eDNA_020,TUBES902,Field Extraction Protocol - 15 min digest,0
3,18.9,Laboratory,hull_eDNA_019,,,,,,,,
3,29.6,FASTeDNA,hull_eDNA_018,,,,,,,,
4,0,Laboratory,hull_eDNA_021,Field test 11-oct-24,RA_A,Field,110,,,,
4,0,FASTeDNA,hull_eDNA_020,,RA_B,Lab,97.8,,,,
5,97.8,Laboratory,RA_B,,RB_A,Field,114,,,,
5,110,FASTeDNA,RA_A,,RB_B,Lab,120,,,,
6,120,Laboratory,RB_B,,RC_A,Field,118,,,,
6,114,FASTeDNA,RB_A,,RC_B,Lab,106,,,,
7,106,Laboratory,RC_B,,C_A,Field,0.516,,,,
7,118,FASTeDNA,RC_A,,C_B (Field_Control_B),Lab,0.546,,,,
8,0.546,Laboratory,C_B (Field_Control_B),,Field ENEG,Field,0,,,,
8,0.516,FASTeDNA,C_A,,Lab ENEG (920-ENEG-1),Lab,0,,,,
9,0,Laboratory,Lab ENEG (920-ENEG-1),,,,,,,,
9,0,FASTeDNA,Field ENEG,,AIS-4472A,Lab,38.4,,,,
10,38.4,Laboratory,AIS-4472A,,AIS-4472B,Field,44.7,,,,
10,44.7,FASTeDNA,AIS-4472B,,AIS-4473A,Lab,41.2,,,,
11,41.2,Laboratory,AIS-4473A,,AIS-4473B,Field,37,,,,
11,37,FASTeDNA,AIS-4473B,,AIS-4474A,Lab,39.9,,,,
12,39.9,Laboratory,AIS-4474A,,AIS-4474B,Field,52,,,,
12,52,FASTeDNA,AIS-4474B,,AIS-4475A (Field Blank),Lab,4.95,,,,
13,4.95,Laboratory,AIS-4475A (Field Blank),,AIS-4475B (Field Blank),Field,7.35,,,,
13,7.35,FASTeDNA,AIS-4475B (Field Blank),,,,,,,,
14,0.282,Laboratory,Dive25-1B,,Dive25-1B,Lab,0.282,,,,
14,0.207,FASTeDNA,Dive25-1A,,Dive25-1A,Field,0.207,,,,
15,1.44,Laboratory,PER25-31B,,PER25-31B,Lab,1.44,,,,
15,2.52,FASTeDNA,PER25-31A,,PER25-31A,Field,2.52,,,,
16,0,Laboratory,ENEG-952,,Field ENEG,Field,0,,,,
16,0,FASTeDNA,Field ENEG,Field ENEG,ENEG-952,Lab,0,,,,
17,20.9,Laboratory,1A,,,,,,,,
17,28.3,FASTeDNA,1B,,1A,Lab,20.9,,,,
18,19.9,Laboratory,2A,,1B,Field,28.3,,,,
18,19.8,FASTeDNA,2B,,2A,Lab,19.9,,,,
19,0.454,Laboratory,ControlA,,2B,Field,19.8,,,,
19,0.177,FASTeDNA,ControlB,,ControlA,Lab,0.454,,,,
20,0,Laboratory,Lab ENEG - (966-ENEG-1),,ControlB,Field,0.177,,,,
20,0,FASTeDNA,Field ENEG,,Field ENEG,Field,BQL,,,,
21,10.4,Laboratory,96,,Lab ENEG - (966-ENEG-1),Lab,BQL,,,,
21,38.2,FASTeDNA,95,,,,,,,,
22,13.1,Laboratory,98,,95,Field,38.2,,,,
22,50,FASTeDNA,97,,96,Lab,10.4,,,,
23,0.336,Laboratory,101,,97,Field,50,,,,
23,0.096,FASTeDNA,100,,98,Lab,13.1,,,,
24,0,Laboratory,Lab ENEG - (966-ENEG-1),,100,Field,0.096,,,,
24,0,FASTeDNA,Field ENEG,,101,Lab,0.336,,,,
25,36,Laboratory,LPJ01-A,,Field ENEG,Field,BQL,,,,
25,42,FASTeDNA,LPJ01-B,,Lab ENEG (966-ENEG-1),Lab,BQL,,,,
26,40.8,Laboratory,LPJ03-A,,,,,,,,
26,41.1,FASTeDNA,LPJ03-B,,LPJ01-A,36,,,,,
27,0,Laboratory,LPJFB-A,,LPJ03-A,40.8,,,,,
27,0,FASTeDNA,LPJFB-B,,LPJFB-A,BDL,,,,,
28,45.6,Laboratory,CAT01-A,,CAT01-A,45.6,,,,,
28,30,FASTeDNA,CAT01-B,,CAT02-A,53,,,,,
29,53,Laboratory,CAT02-A,,CAT03-A,53,,,,,
29,35.1,FASTeDNA,CAT02-B,,CATFB-A,9.19,,,,,
30,53,Laboratory,CAT03-A,,1013-ENEG,BDL,,,,,
30,35.5,FASTeDNA,CAT03-B,,LPJ01-B,42,,,,,
31,9.19,Laboratory,CATFB-A,,LPJ03-B,41.1,,,,,
31,6.29,FASTeDNA,CATFB-B,,LPJFB-B,BDL,,,,,
32,0,Laboratory,1013-ENEG,,CAT01-B,30,,,,,
32,0,FASTeDNA,Field ENEG,,CAT02-B,35.1,,,,,
,,,,,CAT03-B,35.5,,,,,
,,,,,CATFB-B,6.29,,,,,
,,,,,Field ENEG,BDL,,,,,
