sample,protocol,ct_value
STD High,Field,20.5
STD High,Field,21.7
STD High,Field,NA
STD High,Lab,21.1
STD High,Lab,21.1
STD High,Lab,21.2
STD Low,Field,35.2
STD Low,Field,35.3
STD Low,Field,NA
STD Low,Lab,33.9
STD Low,Lab,34.3
STD Low,Lab,34
eDNA 1,Field,NA
eDNA 1,Field,NA
eDNA 1,Field,NA
eDNA 1,Lab,NA
eDNA 1,Lab,NA
eDNA 1,Lab,NA
eDNA 2,Field,NA
eDNA 2,Field,NA
eDNA 2,Field,NA
eDNA 2,Lab,NA
eDNA 2,Lab,NA
eDNA 2,Lab,NA
eDNA Neg,Field,NA
eDNA Neg,Field,NA
eDNA Neg,Field,NA
eDNA Neg,Lab,NA
eDNA Neg,Lab,NA
eDNA Neg,Lab,NA
Extr. Neg,Field,NA
Extr. Neg,Field,NA
Extr. Neg,Field,NA
Extr. Neg,Lab,NA
Extr. Neg,Lab,NA
Extr. Neg,Lab,NA
NTC,Field,NA
NTC,Field,NA
NTC,Field,NA
NTC,Lab,NA
NTC,Lab,NA
NTC,Lab,NA
Pos. Ctrl,Field,30
Pos. Ctrl,Field,NA
Pos. Ctrl,Field,NA
Pos. Ctrl,Lab,29
Pos. Ctrl,Lab,28.9
Pos. Ctrl,Lab,29.6
